,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
17101,"ARCADIA RESOURCES, INC",10-Q,1071941,2005-02-14,edgar/data/1071941/0000950124-05-000825.txt,2005-02-14
17269,ARCHER DANIELS MIDLAND CO,10-Q,7084,2005-02-08,edgar/data/7084/0000007084-05-000055.txt,2005-02-08
17379,ARCHON CORP,10-Q,812482,2005-02-22,edgar/data/812482/0001193125-05-034130.txt,2005-02-22
17449,ARCTIC CAT INC,10-Q,719866,2005-02-09,edgar/data/719866/0001104659-05-004846.txt,2005-02-09
17670,ARGO TECH CORP,10-Q,1047837,2005-03-14,edgar/data/1047837/0000950152-05-002084.txt,2005-03-14
17672,"ARGON ST, Inc.",10-Q,26537,2005-02-09,edgar/data/26537/0000950133-05-000407.txt,2005-02-09
17805,ARIBA INC,10-Q,1084755,2005-02-09,edgar/data/1084755/0001193125-05-023559.txt,2005-02-09
17942,ARK RESTAURANTS CORP,10-Q,779544,2005-02-15,edgar/data/779544/0000950117-05-000633.txt,2005-02-15
18265,ARRAY BIOPHARMA INC,10-Q,1100412,2005-02-07,edgar/data/1100412/0001104659-05-004330.txt,2005-02-07
18372,ARROW INTERNATIONAL INC,10-Q,886046,2005-01-10,edgar/data/886046/0001188112-05-000074.txt,2005-01-10
18645,ARTISOFT INC,10-Q,877931,2005-01-25,edgar/data/877931/0001047469-05-001474.txt,2005-01-25
18712,ARVINMERITOR INC,10-Q,1113256,2005-02-09,edgar/data/1113256/0001189233-05-000015.txt,2005-02-09
19089,ASHLAND INC,10-Q,7694,2005-02-08,edgar/data/7694/0000007694-05-000048.txt,2005-02-08
19176,ASHWORTH INC,10-Q,820774,2005-03-11,edgar/data/820774/0000936392-05-000057.txt,2005-03-11
19499,ASPEN TECHNOLOGY INC /DE/,10-Q,929940,2005-03-15,edgar/data/929940/0001047469-05-006557.txt,2005-03-15
19895,ASTA FUNDING INC,10-Q,1001258,2005-02-09,edgar/data/1001258/0001125282-05-000544.txt,2005-02-09
20113,ASYST TECHNOLOGIES INC /CA/,10-Q,909326,2005-02-03,edgar/data/909326/0000950134-05-002004.txt,2005-02-03
20321,ATARI INC,10-Q,1002607,2005-02-09,edgar/data/1002607/0000950123-05-001408.txt,2005-02-09
20336,ATC HEALTHCARE INC /DE/,10-Q,720480,2005-01-14,edgar/data/720480/0001157523-05-000263.txt,2005-01-14
20695,ATLAS AMERICA INC,10-Q,1279228,2005-02-09,edgar/data/1279228/0000950116-05-000483.txt,2005-02-09
20830,ATMOS ENERGY CORP,10-Q,731802,2005-02-09,edgar/data/731802/0000950134-05-002440.txt,2005-02-09
20879,ATNL INC,10-Q,1158063,2005-02-08,edgar/data/1158063/0000893220-05-000260.txt,2005-02-08
20990,ATWOOD OCEANICS INC,10-Q,8411,2005-02-09,edgar/data/8411/0000008411-05-000019.txt,2005-02-09
21085,AUDUBON WEST INC,10-Q,1062623,2005-02-02,edgar/data/1062623/0001005229-05-000004.txt,2005-02-02
21208,AULT INC,10-Q,723639,2005-01-12,edgar/data/723639/0001104659-05-001136.txt,2005-01-12
21228,AURA SYSTEMS INC,10-Q,826253,2005-01-27,edgar/data/826253/0001144204-05-002510.txt,2005-01-27
